               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030914,            0.027618,           0.0023295,             0.88203,             0.92879,             0.94791,             0.63351,            0.026251,            0.022499,           0.0018622,            0.002529,            0.002529,            0.006429
                  37,            0.030177,            0.027053,           0.0022997,             0.90228,             0.92067,             0.95042,             0.62692,            0.026511,            0.022739,           0.0017739,           0.0023881,           0.0023881,           0.0036881
                  38,            0.028767,            0.026487,           0.0022756,             0.88546,             0.95105,             0.95864,             0.64242,            0.027144,            0.022725,           0.0015952,           0.0022196,           0.0022196,           0.0022196
                  39,             0.02939,            0.025888,            0.002161,              0.8825,             0.94923,              0.9527,              0.6723,            0.023683,             0.02266,           0.0017248,           0.0022196,           0.0022196,           0.0022196
                  40,            0.026807,            0.026499,           0.0021852,             0.89245,             0.94173,              0.9497,             0.65477,            0.025338,            0.022667,            0.001533,           0.0020327,           0.0020327,           0.0020327
                  41,            0.026326,            0.025332,            0.001916,             0.85936,             0.95681,             0.94736,             0.68346,            0.023906,            0.022566,           0.0014285,           0.0018594,           0.0018594,           0.0018594
                  42,            0.024045,            0.024863,           0.0018695,             0.87592,             0.93374,             0.94553,             0.66757,            0.023774,            0.022907,           0.0013925,           0.0017005,           0.0017005,           0.0017005
                  43,            0.024808,            0.025625,           0.0019255,             0.88457,             0.91768,             0.94844,              0.6786,            0.022817,            0.022177,           0.0013042,           0.0015566,           0.0015566,           0.0015566
                  44,            0.022695,            0.024763,            0.001627,             0.84885,              0.9617,             0.94746,             0.69815,            0.022431,            0.022461,           0.0012204,           0.0014283,           0.0014283,           0.0014283
                  45,            0.022204,            0.024152,           0.0014762,             0.87791,              0.9562,             0.95247,             0.70451,            0.021727,            0.022286,           0.0011371,            0.001316,            0.001316,            0.001316
                  46,            0.022331,            0.023971,           0.0014028,             0.88088,              0.9461,             0.95287,             0.68723,            0.021543,            0.022253,           0.0010127,           0.0012202,           0.0012202,           0.0012202
                  47,            0.021843,            0.023313,           0.0015769,             0.90222,             0.91556,             0.95139,             0.70786,             0.02136,            0.021977,           0.0009769,           0.0011414,           0.0011414,           0.0011414
                  48,            0.021395,            0.024142,           0.0014633,             0.90075,             0.93572,             0.95015,             0.71409,            0.021174,            0.021781,          0.00094733,           0.0010797,           0.0010797,           0.0010797
                  49,            0.021231,            0.023528,           0.0015399,             0.88324,             0.94967,             0.95488,             0.69915,            0.021538,            0.021727,          0.00096935,           0.0010355,           0.0010355,           0.0010355
